venue,title,datetime,description,url
Todmorden Mills Heritage Site,N/A,11:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/architecture-in-three-dimensions-toronto/
Union Station,N/A,11:30 AM – 3:30 PM,N/A,https://www.blogto.com/events/union-summer-presented-by-td-best-of-union-beats-dj-sarabi-toronto/
The Distillery District,N/A,12:00 PM – 4:00 PM,N/A,https://www.blogto.com/events/freeup-emancipation-day-2025-toronto/
Mascot Brewery and Restaurant,N/A,4:00 PM – 9:00 PM,N/A,https://www.blogto.com/events/duckn-work-caribana-day-party-event-friday-august-1st-4pm-9pm-toronto/
Miss Likklemore's,N/A,5:00 PM – 11:00 PM,N/A,https://www.blogto.com/events/miss-likklemores-chef-collab-dinner-series-toronto-3/
Woodbine Park,N/A,5:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/toronto-food-truck-festival-toronto-2025/
Drom Taberna,N/A,5:30 PM – 7:30 PM,N/A,https://www.blogto.com/events/friday-evening-swing-dance-and-jazz-manouche-with-nat-beja-at-drom-taberna-toronto/
"Down the ""Discovery Walks"" Road",N/A,6:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/comedy-on-the-river-a-unique-paddle-in-comedy-show-toronto-3/
United Contemporary,N/A,6:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/too-much-fashion-an-ode-to-black-creative-resilience-toronto/
Rily Kitchen,N/A,6:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/the-art-of-the-butcher-and-the-chef-toronto/
Union Station,N/A,6:00 PM – 9:00 PM,N/A,https://www.blogto.com/events/union-summer-presented-by-td-soul-fridays-bana-onmarz-toronto/
MOCA Toronto,N/A,6:30 PM – 8:00 PM,N/A,https://www.blogto.com/events/free-first-friday-night-performance-stephanie-chua-and-allison-cameron-toronto/
Mossop's Social House,N/A,6:30 PM – 11:30 PM,N/A,https://www.blogto.com/events/zoukotop-caribana-edition-at-mossops-social-house-toronto/
Artbox,N/A,6:30 PM – 8:00 PM,N/A,https://www.blogto.com/events/a-bear-and-canvas-paint-pouring-workshop-toronto/
Second City,N/A,7:00 PM – 8:30 PM,N/A,https://www.blogto.com/events/duel-citizens-toronto-5/
St James Park,N/A,7:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/theatre-in-st-james-presents-the-tragedie-of-romeo-juliet-toronto/
Lamport Stadium,N/A,7:00 PM – 11:00 PM,N/A,https://www.blogto.com/events/toronto-panorama-keeping-pan-alive-toronto/
Comedy Bar East,N/A,7:00 PM – 8:15 PM,N/A,https://www.blogto.com/events/josh-gondelman-live-in-toronto-toronto/
Rogers Centre,N/A,7:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/toronto-blue-jays-city-connect-fridays-postgame-fireworks-toronto/
The Pilot,N/A,7:00 PM – 11:59 PM,N/A,https://www.blogto.com/events/summer-indie-party-toronto/
The Rec Room,N/A,7:00 PM – 12:30 AM,N/A,https://www.blogto.com/events/cringey-2010s-music-trivia-dance-party-toronto/
Desi Food Junction,N/A,7:00 PM – 9:00 PM,N/A,https://www.blogto.com/events/premium-desi-comedy-show-toronto/
Steadfast Brewing,N/A,7:00 PM – 11:00 PM,N/A,https://www.blogto.com/events/karaoke-at-steadfast-brewing-toronto-7/
The Painted Lady,N/A,7:00 PM – 9:00 PM,N/A,https://www.blogto.com/events/the-way-of-the-world-listening-party-with-kris-live-at-the-painted-lady-toronto/
My Inner Child Paint Bar,N/A,7:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/paint-and-sip-a-midsummers-night-dream-toronto/
Rogers Centre,N/A,7:07 PM – 9:30 PM,N/A,https://www.blogto.com/events/mlb-toronto-blue-jays-vs-kansas-city-royals-toronto/
Church of St. Mary Magdalene,N/A,7:30 PM – 9:00 PM,N/A,https://www.blogto.com/events/the-chapel-choir-of-pembroke-college-cambridge-with-anna-lapwood-toronto/
The Epochal Imp,N/A,7:30 PM – 10:00 PM,N/A,https://www.blogto.com/events/testing-attention-please-torontos-friendliest-comedy-competition-toronto-16/
The Corner,N/A,8:00 PM – 11:30 PM,N/A,https://www.blogto.com/events/a-stand-up-comedy-showcase-toronto-646/
Drom Taberna,N/A,8:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/friday-night-video-game-jazz-with-brendan-swanson-and-the-suspiciousexe-files-at-drom-taberna-toronto/
Hot Docs Ted Rogers Cinema,N/A,8:30 PM – 11:30 PM,N/A,https://www.blogto.com/events/spirited-away-live-on-stage-toronto/
Social Capital Theatre,N/A,8:30 PM – 9:30 PM,N/A,https://www.blogto.com/events/all-of-us-are-minorities-comedy-show-toronto-8/
Social Capital Theatre,N/A,8:30 PM – 9:45 PM,N/A,https://www.blogto.com/events/all-of-us-are-minorities-comedy-show-toronto-9/
Comedy Bar East,N/A,9:00 PM – 10:15 PM,N/A,https://www.blogto.com/events/hamburger-live-in-toronto-toronto/
Track & Field,N/A,9:00 PM – 2:00 AM,N/A,https://www.blogto.com/events/pub-crawl-toronto-toronto-131/
Ground Control,N/A,9:00 PM – 2:30 AM,N/A,https://www.blogto.com/events/indie-fridays-video-dance-party-w-tv-on-the-radio-after-party-hosted-by-bob-of-indie88-toronto/
Revival,N/A,10:00 PM – 3:00 AM,N/A,https://www.blogto.com/events/the-2000s-party-caribana-edition-toronto/
The Piston,N/A,10:00 PM – 3:00 AM,N/A,https://www.blogto.com/events/wax-candy-friday-night-disco-toronto-34/
Wiggle Room,N/A,10:00 PM – 4:30 AM,N/A,https://www.blogto.com/events/11-pm-free-entry-option-toronto/
Harlem Underground,N/A,10:00 PM – 3:00 AM,N/A,https://www.blogto.com/events/i-still-call-it-caribana-toronto/
Ace Hotel Toronto,N/A,10:00 PM – 2:00 AM,N/A,https://www.blogto.com/events/straight-jeans-fitted-dancehall-party-ace-hotel-toronto/
Hail Mary Bar,N/A,10:00 PM – 2:00 AM,N/A,https://www.blogto.com/events/justin-bieber-dance-party-toronto/
Yuk Yuk's,N/A,10:30 PM – 12:00 AM,N/A,https://www.blogto.com/events/a-showcase-of-future-comedy-stars-toronto/
The Garrison,N/A,11:00 PM – 2:00 AM,N/A,https://www.blogto.com/events/klean-caribana-night-party-toronto/
Backroom Comedy Club,N/A,10:00 PM – 11:50 PM,N/A,https://www.blogto.com/events/10pm-friday-pro-hilarious-late-night-comedy-laugh-guaranteed-hilarity-toronto/
Palette Art School,N/A,9:00 AM – 4:00 PM,N/A,https://www.blogto.com/events/2025-summer-art-camp-at-palette-art-school-toronto/
Comedy Bar,N/A,7:00 PM – 8:30 PM,N/A,https://www.blogto.com/events/24th-annual-globehead-comedy-tournament-toronto/
Ward's Island,N/A,2:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/38th-annual-wards-island-fire-parade-toronto/
Backroom Comedy Club,N/A,8:00 PM – 9:45 PM,N/A,https://www.blogto.com/events/8pm-friday-pro-hilarious-stand-up-comedy-kickoff-laughs-guaranteed-toronto/
TORA,N/A,12:31 AM – 9:30 PM,N/A,https://www.blogto.com/events/aburi-tora-launches-summer-features-menu-in-collaboration-michelin-star-chef-ryusuke-nakagawa-toronto/
The Comedy Lab,N/A,7:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/a-comedy-show-fckin-funny-friday-7-830-toronto/
Artbox Studio Gallery,N/A,8:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/a-glow-in-the-dark-paint-night-by-artbox-toronto-20/
The Comedy Lab,N/A,10:00 PM – 1:00 AM,N/A,https://www.blogto.com/events/an-open-mic-friday-night-mics-toronto/
Arcadia Earth Toronto,N/A,10:00 AM – 7:00 PM,N/A,https://www.blogto.com/events/arcadia-earth-toronto-toronto-3/
Toronto Metropolitan Day Camp,N/A,8:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/architecture-camp-toronto/
Parkway Forest Park,N/A,5:00 PM – 6:00 PM,N/A,https://www.blogto.com/events/arts-in-the-parks-park-in-motion-toronto/
Bata Shoe Museum,N/A,10:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/artwear-sneakers-x-artists-toronto/
Bau-Xi Gallery | Dufferin,N/A,10:00 AM – 5:30 PM,N/A,https://www.blogto.com/events/a-state-of-balance-new-exhibition-by-sheila-kernan-exploring-nature-harmony-and-the-creative-process-at-bau-xi-gallery-dufferin-toronto/
The Market Gallery,N/A,11:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/at-home-in-toronto-toronto/
Union Station,N/A,9:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/a-transit-through-time-toronto/
Royal Ontario Museum,N/A,10:00 AM – 5:30 PM,N/A,https://www.blogto.com/events/auschwitz-not-long-ago-not-far-away-toronto/
Pogue Mahone,N/A,4:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/bbq-party-fridays-at-pogue-mahone-toronto/
Propeller Gallery,N/A,1:00 PM – 5:30 PM,N/A,https://www.blogto.com/events/below-our-feet-and-above-our-heads-group-exhibition-toronto/
Royal Conservatory of Music,N/A,8:00 PM – 9:15 PM,N/A,https://www.blogto.com/events/campus-secrets-and-spectres-university-of-toronto-ghost-tour-toronto-2/
Stephen Bulger Gallery,N/A,11:00 AM – 6:00 PM,N/A,https://www.blogto.com/events/canadian-photographs-1900-1950-toronto/
High Park Amphitheatre,N/A,8:00 PM – 9:30 PM,N/A,https://www.blogto.com/events/canadian-stage-presents-the-42nd-annual-dream-in-high-park-romeo-juliet-toronto/
Toronto Style Bar & Grill,N/A,8:00 PM – 10:30 PM,N/A,https://www.blogto.com/events/cheap-friday-comedy-toronto-2/
Royal Ontario Museum,N/A,10:00 AM – 5:30 PM,N/A,https://www.blogto.com/events/chinese-zodiac-case-year-of-the-snake-at-rom-toronto/
Union Station,N/A,12:00 PM – 12:00 AM,N/A,https://www.blogto.com/events/clock-off-at-the-malibu-bar-at-union-summer-toronto/
30-Up Club,N/A,6:30 PM – 12:00 AM,N/A,https://www.blogto.com/events/come-dance-ballroom-latin-with-us-at-30-up-club-on-friday-saturday-toronto/
Comedy Bar,N/A,11:30 PM – 12:45 AM,N/A,https://www.blogto.com/events/comedy-bar-after-dark-toronto/
Big Park in Regent Park,N/A,2:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/cultural-bazaar-2025-toronto/
The Theatre Centre,N/A,6:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/cypher-playground-festival-toronto/
Princess of Wales Theatre,N/A,6:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/disney-lion-king-toronto/
David Pecaut Square,N/A,8:45 PM – 11:30 PM,N/A,https://www.blogto.com/events/downtown-movies-in-the-park-in-partnership-with-tiffs-50th-edition-toronto/
Sneaky Dee's,N/A,10:30 AM – 3:00 PM,N/A,https://www.blogto.com/events/emo-night-north-toronto/
Looking Glass Adventures,N/A,9:00 AM – 10:00 PM,N/A,https://www.blogto.com/events/escape-room-summer-promo-toronto/
Bata Shoe Museum,N/A,10:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/exhibit-a-investigating-crime-footwear-toronto/
235 Spadina Ave,N/A,12:00 PM – 5:00 PM,N/A,https://www.blogto.com/events/flowers-bloom-for-you-toronto/
Multiple Venues,N/A,2:00 PM – 4:00 PM,N/A,https://www.blogto.com/events/free-senior-in-home-support-program-meals-friendly-visiting-in-scarborough-toronto/
The Mattamy Centre at Historic Maple Leaf Gardens,N/A,10:00 AM – 6:00 PM,N/A,https://www.blogto.com/events/freestyle-frisbee-world-championships-toronto/
Yuk Yuk's,N/A,8:00 PM – 9:30 PM,N/A,https://www.blogto.com/events/friday-night-live-at-yuk-yuks-toronto-toronto/
Bau-Xi Gallery | Dufferin,N/A,10:00 AM – 5:30 PM,N/A,https://www.blogto.com/events/george-byrne-debuts-synthetica-a-surreal-reimagining-of-the-american-landscape-at-bau-xi-gallery-dufferin-toronto/
Hot Docs Cinema,N/A,1:00 PM – 3:00 PM,N/A,https://www.blogto.com/events/ghosts-of-the-sea-toronto/
Hot Docs Ted Rogers Cinema,N/A,1:00 PM – 2:37 PM,N/A,https://www.blogto.com/events/ghosts-of-the-sea-screenings-toronto/
Clay with Me Pottery Studio,N/A,11:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/graffiti-alley-outdoor-pottery-workshops-all-summer-long-toronto/
The Gladstone House,N/A,4:00 PM – 6:00 PM,N/A,https://www.blogto.com/events/happy-hour-at-gladstone-house-toronto/
The Commons at Harbourfront Centre,N/A,9:00 AM – 1:00 PM,N/A,https://www.blogto.com/events/harbourfront-farmers-market-toronto/
Harbourfront Centre,N/A,12:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/home-game-toronto-loves-basketball-toronto/
Harbourfront Centre,N/A,12:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/home-game-toronto-loves-basketball-toronto-2/
Virtual Event,N/A,12:01 AM – 11:59 PM,N/A,https://www.blogto.com/events/hope-letter-campaign-toronto/
MOCA Toronto,N/A,11:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/jessica-stockholder-the-squared-circle-ringing-toronto/
MOCA Toronto,N/A,11:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/justin-ming-yong-blur-toronto/
Alternity,N/A,9:00 PM – 2:00 AM,N/A,https://www.blogto.com/events/kalibr8-djdancesocial-toronto/
Koffler Gallery,N/A,12:30 PM – 5:00 PM,N/A,https://www.blogto.com/events/koffler-arts-presents-elinor-carucci-hannah-altman-toronto/
Aga Khan Museum,N/A,10:00 AM – 5:30 PM,N/A,https://www.blogto.com/events/kour-pour-cosmic-diagrams-toronto/
LEGOLAND Discovery Centre Toronto,N/A,10:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/lego-summer-of-play-at-legoland-discovery-centre-toronto-toronto/
Ukrainian Museum of Canada – Ontario Branch,N/A,10:30 AM – 3:30 PM,N/A,https://www.blogto.com/events/making-a-museum-the-photographic-exhibition-toronto/
MOCA Toronto,N/A,11:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/margaux-williamson-shoes-books-hands-buildings-and-cars-toronto/
Young Centre for the Performing Arts,N/A,9:00 AM – 10:00 AM,N/A,https://www.blogto.com/events/morning-yoga-soulpepper-theatre-toronto/
Parc Downsview Park,N/A,9:00 PM – 11:00 PM,N/A,https://www.blogto.com/events/movies-under-the-stars-2025-toronto/
Sobeys Stadium,N/A,10:30 AM – 9:00 PM,N/A,https://www.blogto.com/events/national-bank-open-presented-by-rogers-toronto-2/
Royal Ontario Museum,N/A,10:00 AM – 5:30 PM,N/A,https://www.blogto.com/events/nature-in-brilliant-colour-at-rom-toronto/
The Second City,N/A,8:00 PM – 9:30 PM,N/A,https://www.blogto.com/events/not-safe-for-work-toronto/
North Toronto Memorial Arena,N/A,10:00 AM – 4:30 PM,N/A,https://www.blogto.com/events/ntsc-summer-skating-camp-toronto/
Parc Downsview Park,N/A,6:30 PM – 8:30 PM,N/A,https://www.blogto.com/events/orchard-rendezvous-toronto-2/
Porsche Experience Centre Toronto,N/A,9:00 AM – 6:00 PM,N/A,https://www.blogto.com/events/porsche-experience-toronto/
High Park Amphitheatre,N/A,8:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/romeo-juliet-toronto-2/
Royal Ontario Museum,N/A,10:00 AM – 5:30 PM,N/A,https://www.blogto.com/events/rom-immortal-natures-symphony-toronto/
Onsite Gallery,N/A,12:00 PM – 5:00 PM,N/A,https://www.blogto.com/events/rosalie-favell-belonging-1982-2024-toronto/
Bata Shoe Museum,N/A,10:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/rough-ready-a-history-of-the-cowboy-boot-toronto/
Royal Ontario Museum,N/A,10:00 AM – 5:30 PM,N/A,https://www.blogto.com/events/saints-sinners-lovers-and-fools-300-years-of-flemish-masterworks-toronto/
Toronto Reference Library,N/A,1:30 PM – 5:00 PM,N/A,https://www.blogto.com/events/seasons-in-art-toronto/
the Red Head Gallery,N/A,12:00 PM – 5:00 PM,N/A,https://www.blogto.com/events/shapes-of-the-extraordinary-toronto/
Old City Hall,N/A,10:00 AM – 3:00 PM,N/A,https://www.blogto.com/events/summer-at-old-city-hall-toronto/
Columbus Centre,N/A,9:00 AM – 4:00 PM,N/A,https://www.blogto.com/events/summer-camp-at-the-columbus-centre-toronto/
CF Sherway Gardens,N/A,10:00 AM – 6:00 PM,N/A,https://www.blogto.com/events/summer-with-ontario-science-centre-experiences-at-cf-sherway-gardens-toronto/
Clark Centre for the Arts,N/A,9:00 AM – 4:00 PM,N/A,https://www.blogto.com/events/talisman-an-art-installation-toronto/
Guild Festival Theatre,N/A,7:30 PM – 9:00 PM,N/A,https://www.blogto.com/events/the-39-steps-toronto/
Museum of Toronto,N/A,12:00 PM – 6:00 PM,N/A,https://www.blogto.com/events/the-52-stories-of-women-who-transformed-toronto-a-groundbreaking-exhibition-toronto/
Trivia Escape Rooms,N/A,1:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/the-classic-game-show-escape-toronto/
Princess of Wales Theatre,N/A,1:00 PM – 7:00 PM,N/A,https://www.blogto.com/events/the-lion-king-toronto/
Peter Pan Bistro,N/A,1:00 PM – 10:30 PM,N/A,https://www.blogto.com/events/the-perfect-bite-a-dinner-experience-inspired-by-glass-onion-a-knives-out-mystery-toronto-4/
Old Mill Toronto,N/A,7:00 PM – 9:30 PM,N/A,https://www.blogto.com/events/the-wedding-party-a-dinner-theatre-escape-room-toronto/
YZD Hangar Bay 12,N/A,9:00 AM – 6:00 PM,N/A,https://www.blogto.com/events/titanic-the-official-exhibition-toronto/
Multiple Venues,N/A,N/A,N/A,https://www.blogto.com/events/toronto-caribbean-carnival-2025-toronto/
Osborne Collection - Lillian H. Smith Library,N/A,9:00 AM – 8:30 PM,N/A,https://www.blogto.com/events/trickster-tales-an-osborne-collection-exhibition-toronto/
Multiple Venues,N/A,11:00 AM – 11:00 PM,N/A,https://www.blogto.com/events/tsm20-toronto-summer-music-festival-toronto/
Union Station,N/A,11:00 AM – 10:00 PM,N/A,https://www.blogto.com/events/union-summer-presented-by-td-toronto-5/
McMichael Canadian Art Collection,N/A,10:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/worlds-on-paper-drawings-from-kinngait-toronto/
